arnumber,customertype,industrygroup,isterminated,customername,supportmodel,liveyear,livequarter,livemonth,vertical
ATI1000,Customer - Strategic,Manufacturing,0,"Lucid USA, Inc.",CAST 2.0,2019,Qtr 3,September,MFG
ATL1007,Customer - Strategic,Utilities and Mining,0,"Atlas Sand Company, LLC",CAST 1.0,2019,Qtr 1,January,MFG - ENERGY
ATL1008,Customer - Strategic,Healthcare,0,"Atlantic Medical Management, LLC",CAST 1.0,2019,Qtr 4,November,HEALTHCARE
ATL1009,Customer - Strategic,Transportation and Warehousing,0,"Atlas Industrial Outsourcing, LLC",CAST 1.0,2019,Qtr 4,December,S&D
ATL5001,Customer - Mid-Market,Manufacturing,0,Atlantic Industries Limited,CAST Canada,2019,Qtr 3,September,S&D
ATL5002,Customer - Strategic,Finance and Insurance,0,Atlantic Central,CAST Canada,2021,Qtr 2,April,S&D - FIN
ATS1000,Customer - Mid-Market,Education,0,A. T. Still University of Health Sciences,CAST 2.0,2019,Qtr 1,January,PUBLIC SECTOR - HE
ATS5000,Customer - Strategic,Manufacturing,0,ATS Traffic - Alberta Ltd.,CAST Canada,2021,Qtr 2,April,MFG
ATX5000,Customer - Strategic,Technology and Professional Services,0,ATX Networks Corp.,CAST Canada,2020,Qtr 2,May,S&D
AUG1001,Customer - Mid-Market,Manufacturing,0,"Augusta Sportswear, Inc.",CAST 2.0,2018,Qtr 3,September,MFG
AUR1000,Customer - Strategic,Sports and Entertainment,0,Aurora Metropolitan Exposition Auditorium and Office Building Authority,CAST 1.0,2018,Qtr 2,May,RETAIL
AUR1001,Customer - Strategic,Wholesale Trade,0,Aurora Parts and Accessories LLC,CAST 1.0,2018,Qtr 4,October,S&D
AUR1002,Customer - Mid-Market,Business Services,0,"Auro Hotels Management, LLC",CAST 2.0,2019,Qtr 4,October,RETAIL
AUR1003,Customer - Mid-Market,Healthcare,0,"Aurora Community Services, Inc.",CAST 1.0,2020,Qtr 4,October,HEALTHCARE
AUR5000,Customer - Strategic,Manufacturing,0,Aureus Energy Services,CAST Canada,2018,Qtr 4,October,MFG - ENERGY
AUS1003,Customer - Enterprise,Construction,0,"Austin Industries, Inc.",CAST 2.0,2019,Qtr 4,November,MFG
AUS1005,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,The Austin Stone Community Church,CAST 1.0,2021,Qtr 3,September,S&D
AUT1009,Customer - Strategic,Technology and Professional Services,1,"automotiveMastermind, Inc.",CAST 1.0,2018,Qtr 1,January,S&D
AUX1000,Customer - Strategic,Technology and Professional Services,0,"Auxis, LLC",CAST 1.0,2019,Qtr 2,June,S&D
AVA1003,Customer - Strategic,Finance and Insurance,0,"Avant, LLC",CAST 1.0,2018,Qtr 1,January,S&D - FIN
AVA1004,Customer - Enterprise,Business Services,0,"Avalon Health Care Management, Inc.",Global,2019,Qtr 3,September,S&D - FIN
AVE5000,Customer - Strategic,,0,Avenue Living Communities Ltd.,CAST Canada,2021,Qtr 1,March,S&D - FIN
AVI1004,Customer - Mid-Market,Education,0,AVID Center,CAST 1.0,2020,Qtr 2,April,PUBLIC SECTOR - K12
AVO1000,Customer - Strategic,Retail,0,"Avocado Green Brands, LLC",CAST 1.0,2020,Qtr 2,April,RETAIL
AWH1000,Customer - Mid-Market,Healthcare,0,AW Health Care,CAST 1.0,2018,Qtr 1,March,HEALTHCARE
AXY5000,Customer - Strategic,Manufacturing,0,AXYZ International Inc.,CAST Canada,2020,Qtr 1,January,S&D
BAD1001,Customer - Strategic,Wholesale Trade,0,Badger Liquor Co. Inc.,CAST 2.0,2020,Qtr 4,October,S&D
BAK1003,Customer - Enterprise,Technology and Professional Services,0,Baker Botts L.L.P.,CAST 2.0,2018,Qtr 3,September,S&D
BAK1004,Customer - Strategic,Finance and Insurance,0,Baker Boyer National Bank,CAST 1.0,2020,Qtr 2,April,S&D - FIN
BAK1005,Customer - Enterprise,Technology and Professional Services,0,Baker & Hostetler LLP,CAST 2.0,2021,Qtr 1,February,PUBLIC SECTOR
BAL1005,Customer - Strategic,Sports and Entertainment,1,Baltimore Ravens L.P.,CAST 1.0,2018,Qtr 2,April,RETAIL
BAL1006,Customer - Enterprise,Finance and Insurance,0,Protective Insurance Corporation,CAST 2.0,2018,Qtr 4,December,S&D - FIN
BAN1017,Customer - Mid-Market,Healthcare,0,"Banyan Treatment and Recovery, LLC",CAST 2.0,2018,Qtr 4,December,HEALTHCARE
BAN1018,Customer - Strategic,Finance and Insurance,0,Banco Itau International,CAST 1.0,2019,Qtr 1,January,S&D - FIN
BAN1019,Customer - Strategic,Finance and Insurance,0,Bank of Springfield,CAST 1.0,2019,Qtr 2,June,S&D - FIN
BAN1020,Customer - Strategic,Finance and Insurance,0,Bank of the Sierra,CAST 2.0,2019,Qtr 4,October,S&D - FIN
BAR1015,Customer - Enterprise,Retail,0,"Barnes & Noble College Booksellers, LLC",Global,2018,Qtr 1,January,RETAIL
BAR1016,Customer - Strategic,Real Estate,0,Baron Property Services LLC,CAST 1.0,2019,Qtr 1,January,S&D
BAR1017,Customer - Strategic,Technology and Professional Services,0,"Barkley, Inc",CAST 1.0,2020,Qtr 3,July,S&D
BAR1018,Customer - Enterprise,,0,"Barry's Bootcamp, LLC",CAST 2.0,2020,Qtr 3,September,RETAIL
BAR1019,Customer - Strategic,,0,"Bardavon Health Innovations, LLC",CAST 1.0,2021,Qtr 1,January,S&D
BAR1020,Customer - Enterprise,Education,0,"BAR Education, Inc.",UMS,2021,Qtr 1,January,PUBLIC SECTOR - K12
BAS1003,Customer - Mid-Market,Manufacturing,0,Basin Holdings LLC,CAST 2.0,2018,Qtr 1,January,MFG
BAT5000,Customer - Enterprise,Construction,0,Bath Fitter Distributing Inc.,CAST Canada,2018,Qtr 4,December,RETAIL
BAY1005,Customer - Strategic,Sports and Entertainment,0,Bay.org,CAST 1.0,2018,Qtr 3,July,MFG - LIFE SCI
